timestamp,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_ax,ref_ay,ref_az
2.861e-05,1.9807974100112915,2.607794618218795,1.503161286740035,0.0,-2.7107460658016252e-05,0.6283185303118846,-0.0,-0.947482021892233,-2.838686642023273e-05
0.005493403,1.9807974100112915,2.607780322355097,1.5065948900345218,0.0,-0.005204859245602807,0.6283035597184274,-0.0,-0.9474594467691492,-0.00545051585631823
0.015666246,1.9807974100112915,2.6076783515066984,1.5129860673946256,0.0,-0.014842527649902636,0.6281967760956912,-0.0,-0.9472984208596874,-0.015543058608545834
0.025558949,1.9807974100112915,2.6074851692166154,1.5191997109022777,0.0,-0.024212481311822288,0.6279944760745819,-0.0,-0.9469933596148212,-0.025355251138133687
0.035522699,1.9807974100112915,2.607196922018331,1.5254554688024597,0.0,-0.03364594198150936,0.627692624314399,-0.0,-0.9465381778841345,-0.0352339480507394
0.045474052,1.9807974100112915,2.606815241143528,1.5316999523048707,0.0,-0.04306240125989518,0.6272929290369668,-0.0,-0.9459354516054518,-0.04509484114800752
0.055419207,1.9807974100112915,2.606340211248251,1.5379360852718964,0.0,-0.05246626822758323,0.6267954788938879,-0.0,-0.9451853144622404,-0.05494254760834902
0.065527678,1.9807974100112915,2.605761582331227,1.5442690517924043,0.0,-0.062016156753786876,0.6261895401089282,-0.0,-0.9442715803012703,-0.06494316748718997
0.075743437,1.9807974100112915,2.6050787853889323,1.550662488773904,0.0,-0.07165723258687595,0.625474516822993,-0.0,-0.9431933505881952,-0.07503927849050153
0.085419178,1.9807974100112915,2.604341315329406,1.5567107565396372,0.0,-0.08077780550516635,0.6247022399825757,-0.0,-0.9420287845489669,-0.08459032011604525
0.095537186,1.9807974100112915,2.603475807850095,1.5630269986280736,0.0,-0.09030247418196309,0.6237958826696989,-0.0,-0.9406620299206494,-0.09456452983034574
0.1062603,1.9807974100112915,2.602453433153757,1.5697103938858472,0.0,-0.10038079679453504,0.6227252543912888,-0.0,-0.9390475605122437,-0.10511852459040039
0.11570406,1.9807974100112915,2.6014636094508217,1.5755864362749472,0.0,-0.1092416599633888,0.6216887134334584,-0.0,-0.9374844935722766,-0.11439759880231216
0.125695467,1.9807974100112915,2.6003253671552153,1.581792108060015,0.0,-0.1185995925508569,0.6204967488888314,-0.0,-0.9356870533850415,-0.1241972028921716
0.135639191,1.9807974100112915,2.5990998175651114,1.5879558558248326,0.0,-0.12789430520519196,0.619213356359204,-0.0,-0.9337517430445219,-0.1339306032228673
0.145567417,1.9807974100112915,2.5977840677351436,1.5940967858216264,0.0,-0.13715460947597757,0.6178355063592749,-0.0,-0.9316739941945092,-0.1436279711785694
0.155388832,1.9807974100112915,2.5963921154380074,1.6001577235788913,0.0,-0.14629428829137994,0.616377857322331,-0.0,-0.9294759112316412,-0.15319902045278216
0.165580511,1.9807974100112915,2.5948528999510354,1.6064315208052988,0.0,-0.155754951624145,0.6147659946336104,-0.0,-0.9270452795605307,-0.16310620392754918
0.175572872,1.9807974100112915,2.593250300279804,1.6125661803777829,0.0,-0.16500580031783627,0.6130877561823482,-0.0,-0.9245145555975913,-0.17279367002607293
0.185475588,1.9807974100112915,2.5915710067602555,1.6186287853256751,0.0,-0.17414799319747584,0.6113292041209368,-0.0,-0.9218627215637905,-0.18236735202219848
0.195470572,1.9807974100112915,2.589784399817533,1.6247297411848631,0.0,-0.18334801788888416,0.6094582737055669,-0.0,-0.9190414249646046,-0.19200159534998948
0.205453396,1.9807974100112915,2.587908323079162,1.6308041292855533,0.0,-0.19250797934433106,0.6074936507392883,-0.0,-0.9160788433271958,-0.2015938845551887
0.215593576,1.9807974100112915,2.5859092138786393,1.6369536934208018,0.0,-0.20178130358916746,0.605400188479926,-0.0,-0.9129219766129976,-0.2113048869958334
0.225564718,1.9807974100112915,2.583851894061295,1.6429795624921713,0.0,-0.2108681000720997,0.6032457682051747,-0.0,-0.9096731873772037,-0.2208205580209819
0.235443115,1.9807974100112915,2.581724525126556,1.648927736636386,0.0,-0.21983773536509363,0.6010179926662242,-0.0,-0.9063137810090371,-0.23021353813493176
0.245480537,1.9807974100112915,2.5794723246365794,1.654948651060692,0.0,-0.2289170604162743,0.5986594938283172,-0.0,-0.902757248550156,-0.23972138509504606
0.25561285,1.9807974100112915,2.5771065883969957,1.6610019873517907,0.0,-0.2380452764907498,0.596182100631448,-0.0,-0.8990214276218341,-0.24928043061503022
0.265434504,1.9807974100112915,2.574725287962983,1.666845309752168,0.0,-0.24685679907902913,0.593688408648287,-0.0,-0.895261028702819,-0.25850783549178985
0.275403738,1.9807974100112915,2.572219891682965,1.6727509277939143,0.0,-0.2557622612813607,0.5910647637990744,-0.0,-0.8913046654785399,-0.2678336137023453
0.285466194,1.9807974100112915,2.5696012407212283,1.6786847731785204,0.0,-0.2647102893139125,0.5883225189245053,-0.0,-0.8871694576294403,-0.27720396674607206
0.295397043,1.9807974100112915,2.5669287645026593,1.6845134946338076,0.0,-0.2734997941957131,0.5855239083727884,-0.0,-0.8829492523416649,-0.28640831473452416
0.305559635,1.9807974100112915,2.5641037791136383,1.6904489838012542,0.0,-0.28245030099439106,0.5825655905912398,-0.0,-0.8784882142251061,-0.29578126353606826
0.315487385,1.9807974100112915,2.5612564644412896,1.6962178233745042,0.0,-0.29114950612545987,0.5795838896388702,-0.0,-0.8739919151176665,-0.3048910498466804
0.325493574,1.9807974100112915,2.5582994910976073,1.702001833266099,0.0,-0.29987158755764803,0.5764873543944122,-0.0,-0.8693224499773924,-0.31402479216380513
