timestamp,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
5.2929e-05,1.950748324394226,2.03238582611084,1.515960693359375,0.08212077389563106,-0.07487883226513399,0.48366180302087325,-0.00042482038570625867,-0.00397614917801104,0.0002940186252910201,-0.04087798297405243,0.0009927474893629544,-0.005406238604336977
0.003264188,1.950748324394226,2.03238582611084,1.515960693359375,0.08212077389563106,-0.07487883226513399,0.48366180302087325,-0.00042482038570625867,-0.00397614917801104,0.0002940186252910201,-0.04087798297405243,0.0009927474893629544,-0.005406238604336977
0.013141632,1.9537804126739502,2.028970718383789,1.53436279296875,0.07854042083379578,-0.0717456153362708,0.46875672466466894,-0.0009557899924485049,-0.004197578329276727,0.00037348919076482143,-0.05458508059382439,-0.012059229426085947,0.01612594723701477
0.02304244,1.9537804126739502,2.028970718383789,1.53436279296875,0.07854042083379578,-0.0717456153362708,0.46875672466466894,-0.0009557899924485049,-0.004197578329276727,0.00037348919076482143,-0.05458508059382439,-0.012059229426085947,0.01612594723701477
0.033070802,1.9537804126739502,2.028970718383789,1.53436279296875,0.07854042083379578,-0.0717456153362708,0.46875672466466894,-0.0009557899924485049,-0.004197578329276727,0.00037348919076482143,-0.05458508059382439,-0.012059229426085947,0.01612594723701477
0.043146371,1.9537804126739502,2.028970718383789,1.53436279296875,0.07854042083379578,-0.0717456153362708,0.46875672466466894,-0.0009557899924485049,-0.004197578329276727,0.00037348919076482143,-0.05458508059382439,-0.012059229426085947,0.01612594723701477
0.053155183,1.9561463594436646,2.0263702869415283,1.54876708984375,0.08031512018710867,-0.07084224175468475,0.4626527879041998,-0.0027125629155827823,-0.0040677043561386855,0.0005355572902858328,-0.03285907581448555,0.030096858739852905,0.002818195149302479
0.063059568,1.9561463594436646,2.0263702869415283,1.54876708984375,0.08031512018710867,-0.07084224175468475,0.4626527879041998,-0.0027125629155827823,-0.0040677043561386855,0.0005355572902858328,-0.03285907581448555,0.030096858739852905,0.002818195149302479
0.073345422,1.9561463594436646,2.0263702869415283,1.54876708984375,0.08031512018710867,-0.07084224175468475,0.4626527879041998,-0.0027125629155827823,-0.0040677043561386855,0.0005355572902858328,-0.03285907581448555,0.030096858739852905,0.002818195149302479
0.083788633,1.9589042663574219,2.024009943008423,1.5634765625,0.09120587691806727,-0.06479526378046603,0.4786822039955271,-0.009733282809564491,0.017103363982986827,0.001136887455673275,-0.3771320581436157,1.2431267499923706,0.023865140974521484
0.093237638,1.9589042663574219,2.024009943008423,1.5634765625,0.09120587691806727,-0.06479526378046603,0.4786822039955271,-0.009733282809564491,0.017103363982986827,0.001136887455673275,-0.3771320581436157,1.2431267499923706,0.023865140974521484
0.103196144,1.9589042663574219,2.024009943008423,1.5634765625,0.09120587691806727,-0.06479526378046603,0.4786822039955271,-0.009733282809564491,0.017103363982986827,0.001136887455673275,-0.3771320581436157,1.2431267499923706,0.023865140974521484
0.113114595,1.9624948501586914,2.022010564804077,1.578582763671875,0.10544153328974201,-0.0603781996671358,0.4878538930791276,-0.01852892282266424,0.04772086837737516,0.00127972103470639,-0.5011933445930481,1.8312885761260986,0.03894350677728631
0.123106241,1.9624948501586914,2.022010564804077,1.578582763671875,0.10544153328974201,-0.0603781996671358,0.4878538930791276,-0.01852892282266424,0.04772086837737516,0.00127972103470639,-0.5011933445930481,1.8312885761260986,0.03894350677728631
0.133132696,1.9624948501586914,2.022010564804077,1.578582763671875,0.10544153328974201,-0.0603781996671358,0.4878538930791276,-0.01852892282266424,0.04772086837737516,0.00127972103470639,-0.5011933445930481,1.8312885761260986,0.03894350677728631
0.14303565,1.9624948501586914,2.022010564804077,1.578582763671875,0.10544153328974201,-0.0603781996671358,0.4878538930791276,-0.01852892282266424,0.04772086837737516,0.00127972103470639,-0.5011933445930481,1.8312885761260986,0.03894350677728631
0.15306139,1.9671629667282104,2.0203795433044434,1.5936279296875,0.10105376061862097,-0.059356743105925674,0.4863897347269614,-0.04038877516912738,0.1324216668498576,0.00051262399996252,-0.5325765013694763,2.2911198139190674,0.03434363380074473
0.163068533,1.9671629667282104,2.0203795433044434,1.5936279296875,0.10105376061862097,-0.059356743105925674,0.4863897347269614,-0.04038877516912738,0.1324216668498576,0.00051262399996252,-0.5325765013694763,2.2911198139190674,0.03434363380074473
0.173075199,1.9671629667282104,2.0203795433044434,1.5936279296875,0.10105376061862097,-0.059356743105925674,0.4863897347269614,-0.04038877516912738,0.1324216668498576,0.00051262399996252,-0.5325765013694763,2.2911198139190674,0.03434363380074473
0.183226823,1.9739065170288086,2.018136739730835,1.607086181640625,0.11278703207247398,-0.05410251738614097,0.47679359120014525,-0.059641893465626324,0.22132027541108287,-0.001522987392193939,-0.39670753479003906,2.1210906505584717,0.06616710871458027
0.193152189,1.9739065170288086,2.018136739730835,1.607086181640625,0.11278703207247398,-0.05410251738614097,0.47679359120014525,-0.059641893465626324,0.22132027541108287,-0.001522987392193939,-0.39670753479003906,2.1210906505584717,0.06616710871458027
0.203567981,1.9739065170288086,2.018136739730835,1.607086181640625,0.11278703207247398,-0.05410251738614097,0.47679359120014525,-0.059641893465626324,0.22132027541108287,-0.001522987392193939,-0.39670753479003906,2.1210906505584717,0.06616710871458027
0.213242769,1.9739065170288086,2.018136739730835,1.607086181640625,0.11278703207247398,-0.05410251738614097,0.47679359120014525,-0.059641893465626324,0.22132027541108287,-0.001522987392193939,-0.39670753479003906,2.1210906505584717,0.06616710871458027
