timestamp,obs_dx,obs_dy,obs_dz
2.3126e-05,0.14836988441963264,0.6693022619794633,-3.116009956339376
0.006985426,0.18897031411119583,0.8690094133416797,-1.7282633243730028
0.016605854,0.116383282543815,0.14655871664235903,-2.3395365974395617
0.026972532,-0.050416526563881923,-0.7897669407196487,-2.053132704869546
0.036649942,-0.16777952462618323,-1.4745365166963194,-2.234824057189503
0.046676636,-0.2520565646712707,-2.0125547263423433,-2.23416370777104
0.057020187,-0.34735993884000055,-2.467590659207603,-2.25999659271239
0.066659927,-0.3958830014555224,-2.9176841835074963,-2.315740141220925
0.076598167,-0.4184757842217173,-3.3516696910916774,-2.361539864671319
0.086563349,-0.43550130584454155,-3.5947318533934633,-2.5011602070112486
0.096503734,-0.4328415376483469,-3.8982170630281736,-2.5029501609016305
0.106637478,-0.4183838896827782,-4.1923371879789455,-2.568182131016251
0.116554498,-0.39575088495016075,-4.454447008378029,-2.6051321437297075
0.127207517,-0.4066894238875773,-4.71398243019567,-2.806054239471123
0.137181043,-0.38423536298109995,-4.910142693258628,-2.77434788867484
0.146612882,-0.34718373148693443,-5.063754015061773,-2.8471368618788815
0.156544685,-0.372485699165901,-5.25517707550828,-2.7326467804838677
0.166557789,-0.3443245410889262,-5.370285396559858,-2.8393893705806708
0.17657876,-0.2959725067631044,-5.447369419451293,-2.853441687629676
0.186546802,-0.2344941282741821,-5.055964308840361,-2.5379692862912075
0.196557998,-0.17378683067203227,-4.96388547646733,-2.731689463389429
0.206623316,-0.1139680099014918,-4.969959763476127,-2.7063883836452174
0.216594696,-0.0552760651514308,-5.01004175902751,-2.764159631011103
0.226695299,0.05645420368449032,-4.391827528069136,-2.5248168559985595
0.236947536,0.12817721244082603,-4.236341246571401,-2.67581781365643
0.246636867,0.18502963196678793,-4.235958947394515,-2.660627688470874
0.258512497,0.685547274221355,-3.7091411409208064,-2.827318282155084
0.266599893,0.8602144601033357,-3.596533014096872,-2.7940182086580996
0.277121067,0.9187491483776513,-3.621289637778477,-2.8466851046287
0.289953708,0.9934416567893078,-2.842740514148214,-2.914139306176035
0.296735048,1.0126619249265545,-2.639669464373386,-2.9195490549808483
0.307302713,1.0162950287063648,-2.6305431868115536,-2.9517823438464554
